Date,gross_ret,turnover,costs,net_ret,cum_gross,cum_net
2021-06-24,0.0004013708498559532,0.0,0.0,0.0004013708498559532,1.0327028062858057,1.0292449892645028
2021-06-25,0.00014155040942578348,0.2,0.0001,4.155040942578347e-05,1.0328489857908505,1.0292877548152062
2021-06-28,-0.00045815594328562064,0.19999999999999998,9.999999999999999e-05,-0.0005581559432856207,1.032375779889494,1.028713251737505
2021-06-29,-0.001939019870094716,0.0,0.0,-0.001939019870094716,1.0303739827388836,1.0267185563017562
2021-06-30,9.611806063956061e-05,0.0,0.0,9.611806063956061e-05,1.0304730202878378,1.0268172424982107
2021-07-01,0.00026788317189234715,0.19999999999999998,9.999999999999999e-05,0.00016788317189234716,1.030749066669062,1.026989627833835
2021-07-02,0.0014682090697414997,0.2,0.0001,0.0013682090697414997,1.032262421797373,1.0283947643571678
2021-07-06,0.00293393398805426,0.19999999999999998,9.999999999999999e-05,0.0028339339880542602,1.0352910116012757,1.0313091672330168
2021-07-07,-6.985602153054566e-05,0.0,0.0,-6.985602153054566e-05,1.0352186902900788,1.031237124077626
2021-07-08,0.0055902528490789916,0.2,0.0001,0.005490252849078991,1.0410058245228928,1.036898876636169
2021-07-09,-0.0009865598904624795,0.0,0.0,-0.0009865598904624795,1.0399788099306806,1.0358759137940143
2021-07-12,-0.0026542675410330396,0.0,0.0,-0.0026542675410330396,1.0372184279321195,1.033126421979493
2021-07-13,0.009327550012094177,0.0,0.0,0.009327550012094177,1.046893134692122,1.0427629603493225
2021-07-14,0.0003733585312323817,0.0,0.0,0.0003733585312323817,1.047284001175248,1.0431522847966221
2021-07-15,-0.0065396725902526764,0.0,0.0,-0.0065396725902526764,1.040435106698552,1.0363304103922781
2021-07-16,-0.006796491813584937,0.0,0.0,-0.006796491813584937,1.0333637980133088,1.0292869992418778
2021-07-19,0.00881719335885145,0.0,0.0,0.00881719335885145,1.0424751664304293,1.0383624217359455
2021-07-20,-0.006288943627653365,0.0,0.0,-0.006288943627653365,1.0359190988755196,1.0318322190005744
2021-07-21,-0.003607898237045104,0.0,0.0,-0.003607898237045104,1.0321816081849653,1.028109473356716
2021-07-22,-0.00017370485227952148,0.0,0.0,-0.00017370485227952148,1.03200231323119,1.0279308857525193
2021-07-23,0.0025173286248901805,0.0,0.0,0.0025173286248901805,1.0346002021952396,1.0305185255956328
2021-07-26,-0.0031083544495461024,0.0,0.0,-0.0031083544495461024,1.0313842980532448,1.027315308751258
2021-07-27,-0.0055395255416588185,0.0,0.0,-0.0055395255416588185,1.025670918390913,1.0216244693590935
2021-07-28,0.001786937119610199,0.0,0.0,0.001786937119610199,1.0275037278274903,1.0234500480456934
2021-07-29,0.003530286524333237,0.0,0.0,0.003530286524333237,1.031131110391542,1.0270631199586373
2021-07-30,-0.0010076722432598717,0.0,0.0,-0.0010076722432598717,1.0300920681924386,1.026028176960579
2021-08-02,0.0022846694048908045,0.0,0.0,0.0022846694048908045,1.0324454880248586,1.0283723121450368
2021-08-03,-0.0003290896679244981,0.0,0.0,-0.0003290896679244981,1.0321057208820543,1.0280338854423303
2021-08-04,-0.0048785846184248305,0.0,0.0,-0.0048785846184248305,1.0270705057875709,1.023018535141592
2021-08-05,-0.002279610718894598,0.0,0.0,-0.002279610718894598,1.024729184853517,1.0206864511232552
